top - 09:54:55 up 44 days, 27 min,  1 user,  load average: 1.24, 1.02, 0.88
Tasks: 382 total,   1 running, 304 sleeping,   0 stopped,   0 zombie
%Cpu(s): 13.4 us,  5.7 sy,  0.1 ni, 79.6 id,  0.0 wa,  0.0 hi,  1.2 si,  0.0 st
KiB Mem : 16251892 total,   556224 free,  6461480 used,  9234188 buff/cache
KiB Swap:  2097148 total,  1555884 free,   541264 used.  8962312 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
  993 root      20   0   31324    656    556 S   0.0  0.0   0:03.25 /usr/sbin/cron -f
  996 syslog    20   0  263040   1808    604 S   0.0  0.0   0:22.75 /usr/sbin/rsyslogd -n
  998 avahi     20   0   47552   2116   1600 S   0.0  0.0   3:37.37 avahi-daemon: running [andrew-Latitude-5590.local]
 1001 root      20   0  504196   7284   4464 S   0.0  0.0   2:38.75 /usr/lib/udisks2/udisksd
 1003 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 [loop36]
 1007 root      20   0   70584   2104   1840 S   0.0  0.0   0:20.35 /lib/systemd/systemd-logind
 1019 message+  20   0   52888   4944   2444 S   0.0  0.0   7:34.42 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
 1020 avahi     20   0   47080     44      0 S   0.0  0.0   0:00.00 avahi-daemon: chroot helper
 1056 root      20   0   45876   4724   4040 S   0.0  0.0   0:17.19 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
 1058 root      20   0  832500  12032   7932 S   0.0  0.1  35:52.90 /usr/sbin/NetworkManager --no-daemon
 1062 root      20   0  287632   4012   3416 S   0.0  0.0   0:40.61 /usr/lib/accountsservice/accounts-daemon
 1066 root      20   0  170536   1032    908 S   0.0  0.0   0:00.06 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
 1071 root      20   0    4556    632    544 S   0.0  0.0   0:35.20 /usr/sbin/acpid
 1082 root      20   0  179892   1912   1732 S   0.0  0.0   3:55.37 /usr/sbin/thermald --no-daemon --dbus-enable
 1112 root      20   0  296612   6948   3796 S   0.0  0.0   0:05.62 /usr/lib/policykit-1/polkitd --no-debug
 1334 root      20   0  187244   1224    828 S   0.0  0.0   0:00.08 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
 1357 root      20   0 1720488  10560   3208 S   0.0  0.1  36:08.32 /usr/bin/containerd
 1369 root      20   0  300952   3068   2528 S   0.0  0.0   0:00.08 /usr/sbin/gdm3
 1406 root      20   0  254448    484    484 S   0.0  0.0   0:00.01 gdm-session-worker [pam/gdm-launch-environment]
 1412 mysql     20   0 2838356 312888  17924 S   0.0  1.9 113:05.69 /usr/sbin/mysqld
 1431 redis     20   0   51448    272    136 S   0.0  0.0  49:42.68 /usr/bin/redis-server 127.0.0.1:6379
 1463 gdm       20   0   77144   4028   3108 S   0.0  0.0   0:00.85 /lib/systemd/systemd --user
 1464 gdm       20   0  114192    272      0 S   0.0  0.0   0:00.00 (sd-pam)
 1498 gdm       20   0  190692    468    468 S   0.0  0.0   0:00.00 /usr/lib/gdm3/gdm-wayland-session gnome-session --autostart /usr/share/gdm/greeter/autostart
 1502 gdm       20   0   50412   2676   1988 S   0.0  0.0   0:00.16 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
 1511 gdm       20   0  625592   1616    852 S   0.0  0.0   0:00.82 /usr/lib/gnome-session/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
 1551 gdm       20   0 4262284 107632  74944 S   0.0  0.7  34:23.62 /usr/bin/gnome-shell
 1576 root      20   0  315484   5088   4052 S   0.0  0.0   3:17.15 /usr/lib/upower/upowerd
 1668 gdm       20   0 1785096   3488   2708 S   0.0  0.0   0:02.06 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
 1707 gdm       20   0  349424    232    232 S   0.0  0.0   0:00.00 /usr/lib/at-spi2-core/at-spi-bus-launcher
 1712 gdm       20   0   49932    544    472 S   0.0  0.0   0:00.00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
 1714 gdm       20   0  220768    448    348 S   0.0  0.0   0:00.01 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
 1720 gdm       20   0 1584464   2024   1464 S   0.0  0.0   0:00.34 /usr/bin/pulseaudio --daemonize=no
 1721 rtkit     21   1  183512    212    208 S   0.0  0.0   0:31.93 /usr/lib/rtkit/rtkit-daemon
 1798 gdm       20   0  428104    488    488 S   0.0  0.0   0:00.12 ibus-daemon --xim --panel disable
 1801 gdm       20   0  273640      8      8 S   0.0  0.0   0:00.00 /usr/lib/ibus/ibus-dconf
 1804 gdm       20   0  706968   2976   2180 S   0.0  0.0   0:00.12 /usr/lib/ibus/ibus-x11 --kill-daemon
 1806 gdm       20   0  271452     28     28 S   0.0  0.0   0:00.01 /usr/lib/ibus/ibus-portal
 1815 gdm       20   0  264456     36     36 S   0.0  0.0   0:00.00 /usr/libexec/xdg-permission-store
 1828 root      20   0  289768   2928   2472 S   0.0  0.0   0:09.29 /usr/lib/x86_64-linux-gnu/boltd
 1839 root      20   0  515536  68000   8176 S   0.0  0.4   2:12.46 /usr/lib/packagekit/packagekitd
 1859 gdm       20   0  857684   5988   4092 S   0.0  0.0   0:00.19 /usr/lib/gnome-settings-daemon/gsd-xsettings
 1862 gdm       20   0  271200    240    240 S   0.0  0.0   0:00.01 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
 1864 gdm       20   0  706564   3200   2272 S   0.0  0.0   0:00.12 /usr/lib/gnome-settings-daemon/gsd-clipboard
 1865 gdm       20   0 1034404  13836   5376 S   0.0  0.1  34:17.07 /usr/lib/gnome-settings-daemon/gsd-color
 1867 gdm       20   0  386612    512    512 S   0.0  0.0   0:00.01 /usr/lib/gnome-settings-daemon/gsd-datetime
 1869 gdm       20   0  276636     28     28 S   0.0  0.0   0:00.01 /usr/lib/gnome-settings-daemon/gsd-housekeeping
 1870 gdm       20   0  861176   4092   3296 S   0.0  0.0   0:00.14 /usr/lib/gnome-settings-daemon/gsd-keyboard
 1874 gdm       20   0 1368860   5860   4204 S   0.0  0.0   0:01.62 /usr/lib/gnome-settings-daemon/gsd-media-keys
 1876 gdm       20   0  194892      0      0 S   0.0  0.0   0:00.00 /usr/lib/gnome-settings-daemon/gsd-mouse
 1878 gdm       20   0 1152896  10848   5512 S   0.0  0.1   0:12.33 /usr/lib/gnome-settings-daemon/gsd-power
 1879 gdm       20   0  259916    288    288 S   0.0  0.0   0:00.01 /usr/lib/gnome-settings-daemon/gsd-print-notifications
 1886 gdm       20   0  194912      0      0 S   0.0  0.0   0:00.01 /usr/lib/gnome-settings-daemon/gsd-rfkill
 1888 gdm       20   0  268628      0      0 S   0.0  0.0   0:00.00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
 1889 gdm       20   0  298168    232    232 S   0.0  0.0   0:00.01 /usr/lib/gnome-settings-daemon/gsd-sharing
